id2,task_id,action_type,timestamp,old_value,new_value,details
76,22,update,2025-07-11T19:02:03Z,En cours,En cours,O365 decommissioning in progress
77,23,update,2025-07-11T19:02:03Z,En cours,En cours,Internal forms management ongoing
78,24,update,2025-07-11T19:02:03Z,À faire,À faire,SSIR inventory centralization to do
79,25,update,2025-07-11T19:02:03Z,À faire,À faire,Grafana supervision setup to do
80,26,update,2025-07-11T19:02:03Z,En cours,En cours,Intranet-extranet analysis ongoing
81,27,update,2025-07-11T19:02:03Z,Validation,Validation,Network market ready for validation
82,28,update,2025-07-11T19:02:03Z,Terminé,Terminé,Camera offline config completed
83,29,update,2025-07-11T19:02:03Z,Validation,Validation,Keycloak nextcloud ready for validation
84,30,update,2025-07-11T19:02:03Z,Terminé,Terminé,Bookstack production deployment completed
85,31,update,2025-07-11T19:02:03Z,Terminé,Terminé,Firewall implementation completed
86,32,update,2025-07-11T19:02:03Z,À faire,À faire,Proxmox POC to do
87,33,update,2025-07-11T19:02:03Z,Validation,Validation,Nomenclatures ready for validation
88,34,update,2025-07-11T19:02:03Z,En cours,En cours,AD nomenclature implementation ongoing
89,35,update,2025-07-11T19:02:03Z,Terminé,Terminé,Tomcat JMX supervision completed
90,36,update,2025-07-11T19:02:03Z,À faire,À faire,Password manager solution to do
91,37,update,2025-07-11T19:02:03Z,En cours,En cours,Crimson deployment ongoing
92,38,update,2025-07-11T19:02:03Z,En attente,En attente,Artemis v2.8 upgrade on hold
93,39,update,2025-07-11T19:02:03Z,En cours,En cours,Oxio QLIKSENSE migration ongoing
94,40,update,2025-07-11T19:02:03Z,Validation,Validation,GED implementation ready for validation
95,41,update,2025-07-11T19:02:03Z,En cours,En cours,Kemp upgrade and resilience ongoing
96,42,update,2025-07-11T19:02:03Z,À faire,À faire,Network failure detection supervision to do
97,43,update,2025-07-11T19:02:03Z,En cours,En cours,Element upgrade ongoing
98,44,update,2025-07-11T19:02:03Z,Bloqué,Bloqué,Copier renewal blocked
99,45,update,2025-07-11T19:02:03Z,Terminé,Terminé,CTA PC configuration completed
100,46,update,2025-07-11T19:02:03Z,Bloqué,Bloqué,Dynamic display blocked
101,47,update,2025-07-11T19:02:03Z,En cours,En cours,LAPS implementation ongoing
102,48,update,2025-07-11T19:02:03Z,À faire,À faire,PKI decommissioning to do
103,49,update,2025-07-11T19:02:03Z,Bloqué,Bloqué,File server reorganization blocked
104,50,update,2025-07-11T19:02:03Z,À faire,À faire,Mail archiving to do
105,51,update,2025-07-11T19:02:03Z,Terminé,Terminé,Kemp RAM upgrade completed
106,52,update,2025-07-11T19:02:03Z,À faire,À faire,Network testing monitoring to do
107,53,update,2025-07-11T19:02:03Z,Terminé,Terminé,Apollo market family completed
108,54,update,2025-07-11T19:02:03Z,En cours,En cours,Apache Hop migration ongoing
