Phase_Code;Phase_Nom;Etape_Code;Etape_Nom;Description
G;Gouvernance de l'implémentation;G.02;Identifier les ressources de déploiement et les compétences;Identifier les moyens nécessaires
G;Gouvernance de l'implémentation;G.03;Guider le développement des solutions;Accompagner les équipes de développement
G;Gouvernance de l'implémentation;G.04;Effectuer les revues de conformité de l'architecture d'entreprise;Vérifier l'alignement avec l'architecture
G;Gouvernance de l'implémentation;G.05;Implémenter les opérations métier et TI;Mettre en production les solutions
G;Gouvernance de l'implémentation;G.06;Effectuer la revue post-implémentation;Évaluer les résultats après déploiement
G;Gouvernance de l'implémentation;G.07;Clôturer l'implémentation;Finaliser et documenter l'implémentation
H;Gestion du changement d'architecture;H.01;Établir le processus de réalisation de la valeur;Définir comment mesurer la valeur créée
H;Gestion du changement d'architecture;H.02;Déployer les outils de surveillance;Mettre en place la surveillance de l'architecture
H;Gestion du changement d'architecture;H.03;Gérer les risques;Surveiller et traiter les risques architecturaux
H;Gestion du changement d'architecture;H.04;Fournir l'analyse pour la gestion du changement d'architecture;Analyser les demandes de changement
H;Gestion du changement d'architecture;H.05;Développer les exigences de changement;Formaliser les besoins de changement
H;Gestion du changement d'architecture;H.06;Gérer le processus de gouvernance;Assurer la gouvernance continue de l'architecture
H;Gestion du changement d'architecture;H.07;Activer le processus pour implémenter le changement;Lancer les projets de changement architectural
REQ;Gestion des exigences;REQ.01;Identifier et documenter les exigences;Capturer toutes les exigences architecturales
REQ;Gestion des exigences;REQ.02;Établir la traçabilité des exigences;Lier les exigences aux composants d'architecture
REQ;Gestion des exigences;REQ.03;Gérer le référentiel des exigences;Maintenir la base des exigences à jour
REQ;Gestion des exigences;REQ.04;Évaluer l'impact des exigences;Analyser les effets des nouvelles exigences
REQ;Gestion des exigences;REQ.05;Prioriser les exigences;Établir l'ordre de traitement des exigences
