Fonction_Code;Fonction_Nom;Categorie_Code;Categorie_Nom;SousCategorie_Code;SousCategorie_Nom
PR;Protéger;PR.DS;Sécurité des données;PR.DS-11;Les sauvegardes des données sont créées, protégées et testées
PR;Protéger;PR.PS;Sécurité des plateformes;PR.PS-01;Les pratiques de gestion de la configuration sont établies et appliquées
PR;Protéger;PR.PS;Sécurité des plateformes;PR.PS-02;Le logiciel est maintenu, remplacé et supprimé proportionnellement aux risques
PR;Protéger;PR.PS;Sécurité des plateformes;PR.PS-03;Le matériel est maintenu, remplacé et supprimé proportionnellement aux risques
PR;Protéger;PR.PS;Sécurité des plateformes;PR.PS-04;Les mécanismes de génération de journaux et d'enregistrement sont configurés
PR;Protéger;PR.PS;Sécurité des plateformes;PR.PS-05;L'installation et l'exécution de logiciels non autorisés sont empêchées
PR;Protéger;PR.PS;Sécurité des plateformes;PR.PS-06;Les pratiques de développement logiciel sécurisé sont intégrées et leur performance surveillée
PR;Protéger;PR.IR;Résilience de l'infrastructure;PR.IR-01;Les réseaux et environnements sont protégés contre les accès logiques non autorisés
PR;Protéger;PR.IR;Résilience de l'infrastructure;PR.IR-02;Les actifs technologiques de l'organisation sont protégés contre les menaces environnementales
PR;Protéger;PR.IR;Résilience de l'infrastructure;PR.IR-03;Des mécanismes sont mis en œuvre pour atteindre les exigences de résilience
PR;Protéger;PR.IR;Résilience de l'infrastructure;PR.IR-04;Des ressources adéquates sont fournies pour assurer les niveaux de disponibilité
DE;Détecter;DE.CM;Surveillance continue;DE.CM-01;Les réseaux sont surveillés pour détecter les événements de cybersécurité potentiellement indésirables
DE;Détecter;DE.CM;Surveillance continue;DE.CM-02;L'environnement physique est surveillé pour détecter les événements potentiellement indésirables
DE;Détecter;DE.CM;Surveillance continue;DE.CM-03;Les activités du personnel et l'utilisation de la technologie sont surveillées
DE;Détecter;DE.CM;Surveillance continue;DE.CM-06;Les activités et services des prestataires externes sont surveillés
DE;Détecter;DE.CM;Surveillance continue;DE.CM-09;Les ressources informatiques sont surveillées pour détecter les événements potentiellement indésirables
DE;Détecter;DE.AE;Analyse des événements indésirables;DE.AE-02;Les événements potentiellement indésirables sont analysés pour mieux comprendre les événements associés
DE;Détecter;DE.AE;Analyse des événements indésirables;DE.AE-03;Les informations sont corrélées provenant de sources multiples
DE;Détecter;DE.AE;Analyse des événements indésirables;DE.AE-04;L'impact estimé et la portée des événements indésirables sont compris
DE;Détecter;DE.AE;Analyse des événements indésirables;DE.AE-06;Les informations sur les événements indésirables sont fournies au personnel et outils autorisés
DE;Détecter;DE.AE;Analyse des événements indésirables;DE.AE-07;Les renseignements sur les menaces cyber et autres informations contextuelles sont intégrés dans l'analyse
DE;Détecter;DE.AE;Analyse des événements indésirables;DE.AE-08;Les incidents sont déclarés lorsque les événements indésirables répondent aux critères définis
RS;Répondre;RS.MA;Gestion des incidents;RS.MA-01;Le plan de réponse aux incidents est exécuté en coordination avec les tiers pertinents
RS;Répondre;RS.MA;Gestion des incidents;RS.MA-02;Les rapports d'incidents sont triés et validés
RS;Répondre;RS.MA;Gestion des incidents;RS.MA-03;Les incidents sont catégorisés et priorisés
RS;Répondre;RS.MA;Gestion des incidents;RS.MA-04;Les incidents sont escaladés ou élevés selon les besoins
RS;Répondre;RS.MA;Gestion des incidents;RS.MA-05;Les critères d'initiation de la récupération des incidents sont appliqués
RS;Répondre;RS.AN;Analyse des incidents;RS.AN-03;L'analyse est effectuée pour établir ce qui s'est passé pendant un incident
RS;Répondre;RS.AN;Analyse des incidents;RS.AN-06;Les actions effectuées pendant une investigation sont enregistrées
RS;Répondre;RS.AN;Analyse des incidents;RS.AN-07;Les données et métadonnées des incidents sont collectées et leur intégrité et provenance préservées
RS;Répondre;RS.AN;Analyse des incidents;RS.AN-08;L'ampleur d'un incident est estimée et validée
RS;Répondre;RS.CO;Signalement et communication des incidents;RS.CO-02;Les parties prenantes internes sont notifiées des incidents
RS;Répondre;RS.CO;Signalement et communication des incidents;RS.CO-03;Les informations sont partagées avec les parties prenantes désignées
RS;Répondre;RS.MI;Atténuation des incidents;RS.MI-01;Les incidents sont contenus
RS;Répondre;RS.MI;Atténuation des incidents;RS.MI-02;Les incidents sont éradiqués
RC;Récupérer;RC.RP;Exécution du plan de récupération des incidents;RC.RP-01;La partie récupération du plan de réponse aux incidents est exécutée
RC;Récupérer;RC.RP;Exécution du plan de récupération des incidents;RC.RP-02;Les actions de récupération sont sélectionnées, priorisées et effectuées
RC;Récupérer;RC.RP;Exécution du plan de récupération des incidents;RC.RP-03;L'intégrité des sauvegardes et autres actifs de restauration est vérifiée avant utilisation
RC;Récupérer;RC.RP;Exécution du plan de récupération des incidents;RC.RP-04;Les fonctions et services critiques de la mission sont restaurés
RC;Récupérer;RC.RP;Exécution du plan de récupération des incidents;RC.RP-05;L'intégrité des actifs restaurés est vérifiée, les systèmes et services sont restaurés
RC;Récupérer;RC.RP;Exécution du plan de récupération des incidents;RC.RP-06;La fin de la récupération de l'incident est déclarée basée sur des critères
RC;Récupérer;RC.CO;Communication de récupération des incidents;RC.CO-03;Les activités de récupération et la progression de la restauration sont communiquées
RC;Récupérer;RC.CO;Communication de récupération des incidents;RC.CO-04;Les informations publiques sur les incidents sont partagées selon la politique approuvée
